,lon,lat,capacity_MW,state,type
290,68.878,23.046,10.5,Gujarat,Wind
291,72.841,23.669,0.6,Gujarat,Wind
292,68.889,23.058,7.5,Gujarat,Wind
293,70.220,23.030,21.0,Gujarat,Wind
294,68.964,22.249,63.0,Gujarat,Wind
295,69.640,22.207,50.6,Gujarat,Wind
296,69.640,22.207,10.0,Gujarat,Wind
297,69.640,22.207,18.0,Gujarat,Wind
298,71.204,21.953,15.0,Gujarat,Wind
299,71.181,21.952,2.0,Gujarat,Wind
300,71.181,21.952,1.75,Gujarat,Wind
301,69.622,21.641,67.2,Gujarat,Wind
302,72.15355682373047,21.772798538208008,27.3,Gujarat,Wind
303,68.930,23.131,4.2,Gujarat,Wind
304,68.930,23.131,50.4,Gujarat,Wind
305,68.930,23.131,100.0,Gujarat,Wind
306,68.930,23.131,21.0,Gujarat,Wind
307,70.96162414550781,22.1672306060791,16.5,Gujarat,Wind
308,69.957,22.189,50.4,Gujarat,Wind
309,69.263,21.919,15.0,Gujarat,Wind
310,70.829,22.281,9.0,Gujarat,Wind
311,70.802,22.304,25.2,Gujarat,Wind
312,70.802,22.304,50.4,Gujarat,Wind
313,70.802,22.304,26.0,Gujarat,Wind
314,70.802,22.304,40.0,Gujarat,Wind
315,92.18378448486328,26.21474838256836,1.5,Assam,Wind
316,79.36282348632812,22.351898193359375,1.5,Madhya Pradesh,Wind
317,79.36282348632812,22.351898193359375,1.5,Madhya Pradesh,Wind
318,79.36282348632812,22.351898193359375,1.5,Madhya Pradesh,Wind
319,79.36282348632812,22.351898193359375,0.6,Madhya Pradesh,Wind
320,69.712,22.009,26.35,Gujarat,Wind
321,69.712,22.009,1.25,Gujarat,Wind
322,69.712,22.009,3.6,Gujarat,Wind
323,69.712,22.009,0.45,Gujarat,Wind
324,69.712,22.009,4.0,Gujarat,Wind
325,79.36282348632812,22.351898193359375,0.6,Madhya Pradesh,Wind
326,79.36282348632812,22.351898193359375,51.0,Madhya Pradesh,Wind
327,79.36282348632812,22.351898193359375,1.5,Madhya Pradesh,Wind
328,69.267,23.343,4.2,Gujarat,Wind
329,69.267,23.343,10.5,Gujarat,Wind
330,69.267,23.343,10.5,Gujarat,Wind
331,72.771,22.623,9.6,Gujarat,Wind
332,72.115,23.851,50.0,Gujarat,Wind
333,72.115,23.851,49.3,Gujarat,Wind
334,72.115,23.851,250.0,Gujarat,Wind
335,70.800,22.283,52.5,Gujarat,Wind
336,70.782,22.290,101.2,Gujarat,Wind
337,70.782,22.290,25.2,Gujarat,Wind
338,70.782,22.290,28.0,Gujarat,Wind
339,79.36282348632812,22.351898193359375,0.6,Madhya Pradesh,Wind
340,69.497,21.734,0.6,Gujarat,Wind
341,71.480,22.003,100.0,Gujarat,Wind
342,71.480,22.003,54.0,Gujarat,Wind
343,71.480,22.003,50.0,Gujarat,Wind
344,71.480,22.003,50.0,Gujarat,Wind
345,71.480,22.003,26.0,Gujarat,Wind
346,71.480,22.003,50.0,Gujarat,Wind
347,71.277,22.718,48.0,Gujarat,Wind
348,70.118,22.119,88.8,Gujarat,Wind
349,70.118,22.119,10.0,Gujarat,Wind
350,70.118,22.119,50.4,Gujarat,Wind
351,70.118,22.119,50.4,Gujarat,Wind
352,78.98580932617188,30.305036544799805,1.25,Uttarakhand,Wind
353,69.058,22.142,10.5,Gujarat,Wind
354,69.058,22.142,39.2,Gujarat,Wind
355,71.305,21.338,32.0,Gujarat,Wind
356,68.930,23.131,250.0,Gujarat,Wind
357,68.878,23.046,1.65,Gujarat,Wind
358,71.285,21.443,27.0,Gujarat,Wind
359,71.285,21.443,10.5,Gujarat,Wind
360,70.631,23.229,30.0,Gujarat,Wind
361,70.631,23.229,16.5,Gujarat,Wind
362,70.631,23.229,18.0,Gujarat,Wind
363,70.631,23.229,51.0,Gujarat,Wind
364,68.907,23.031,3.0,Gujarat,Wind
365,68.907,23.031,0.6,Gujarat,Wind
366,68.907,23.031,0.6,Gujarat,Wind
367,68.907,23.031,1.5,Gujarat,Wind
368,68.907,23.031,4.5,Gujarat,Wind
369,71.806,21.845,24.8,Gujarat,Wind
370,68.84719848632812,23.127023696899414,0.6,Gujarat,Wind
371,68.84719848632812,23.127023696899414,0.6,Gujarat,Wind
372,68.84719848632812,23.127023696899414,0.6,Gujarat,Wind
373,70.586,23.001,24.0,Gujarat,Wind
374,70.015,22.470,16.5,Gujarat,Wind
375,70.015,22.470,4.2,Gujarat,Wind
376,70.015,22.470,12.0,Gujarat,Wind
377,70.751,21.340,1.2,Gujarat,Wind
378,70.751,21.340,0.6,Gujarat,Wind
379,76.392,14.574,16.5,Karnataka,Wind
380,76.533,13.733,16.5,Karnataka,Wind
381,76.347,14.480,13.2,Karnataka,Wind
382,76.250,17.001,50.0,Karnataka,Wind
383,76.250,17.001,50.0,Karnataka,Wind
384,75.615,16.640,50.0,Karnataka,Wind
